,_latitude,_longitude,238_frequency_buying_store,81_number_online_purchases_month,288_number_app_purchases_month,289_number_whatsapp_purchases_month,83_willingness_ultrafast_delivery,84_willingness_sameday_delivery,241_age_of_the_interviewee,283_fulfill_needs,305_electricity_bill_store,306_water_bill_store
49,19.01854,-98.217873,4,2,2,0,30,30,20,yes,yes,yes
50,19.0517894414,-98.1975653395,5,0,0,0,250,50,53,yes,no,no
51,19.0365366,-98.2602355,3,0,0,0,30,25,53,yes,no,no
52,19.036780491,-98.2602026314,2,1,0,0,25,20,17,yes,no,no
53,19.0369820645,-98.2605402544,2,1,0,0,20,15,14,yes,no,no
54,19.0365440539,-98.2602773979,2,2,1,0,50,0,15,yes,yes,yes
55,19.0367405566,-98.2602193952,2,2,0,0,35,0,16,yes,yes,yes
56,19.0368869827,-98.2605674118,1,3,3,0,20,0,40,yes,yes,yes
57,19.0370292885,-98.2608426735,1,2,0,0,100,50,26,yes,yes,yes
58,19.0370283377,-98.2608155161,1,0,0,0,20,20,26,yes,yes,yes
59,19.0370799988,-98.2608778775,3,0,0,0,20,15,10,yes,no,no
60,19.0369641,-98.2609913,2,2,2,0,15,0,30,yes,yes,yes
61,19.0451286,-98.2021357,1,3,0,0,300,100,75,no,yes,yes
62,19.0209337757,-98.2149667207,2,0,0,0,0,0,50,yes,no,no
63,19.015877,-98.21577,2,2,5,1,30,15,23,yes,yes,yes
64,19.0437135798,-98.2010437221,3,4,6,2,40,40,21,yes,yes,yes
65,19.0137221091,-98.2270238661,3,1,5,0,25,30,38,yes,yes,yes
66,19.0129691458,-98.2290443159,7,0,1,0,10,10,30,yes,yes,yes
67,19.0123229569,-98.2293443729,1,0,3,0,70,50,32,yes,yes,yes
68,19.0136967529,-98.2288505634,2,1,3,0,25,30,42,yes,yes,yes
69,19.0138129181,-98.22871501,1,0,0,1,40,30,55,yes,no,no
70,19.0136066942,-98.2288855219,1,0,0,0,15,10,47,yes,yes,yes
71,19.012112564,-98.2295443722,7,0,0,0,50,50,45,yes,yes,yes
72,19.0107850003,-98.2300668854,1,0,0,0,30,30,70,yes,yes,yes
73,19.0079655758,-98.2317089865,1,1,0,0,30,20,60,yes,yes,yes
74,19.0135535591,-98.2287962462,1,0,0,0,500,600,55,yes,yes,yes
75,19.0136384225,-98.2287666438,2,0,2,1,25,25,35,yes,no,yes
76,19.0120071779,-98.2279491993,1,0,0,0,20,20,70,yes,yes,yes
77,19.0120926778,-98.2279343681,7,0,2,3,20,40,50,yes,yes,yes
78,19.0122394399,-98.229371583,1,1,1,1,20,30,45,yes,no,no
79,19.0110684748,-98.2299223425,2,0,0,0,15,15,60,yes,yes,yes
