,_latitude,_longitude,238_frequency_buying_store,81_number_online_purchases_month,288_number_app_purchases_month,289_number_whatsapp_purchases_month,83_willingness_ultrafast_delivery,84_willingness_sameday_delivery,241_age_of_the_interviewee,283_fulfill_needs,305_electricity_bill_store,306_water_bill_store
161,19.0177455,-98.2411097,1,0,0,0,0,0,50,yes,no,no
162,19.0178505,-98.2409371,1,0,0,0,30,25,45,yes,no,no
163,19.0178053,-98.2410001,1,5,3,1,60,40,45,yes,no,no
164,19.0178455,-98.2409541,1,3,10,0,100,50,35,yes,no,no
165,19.0178582,-98.2409268,1,2,0,0,80,40,40,yes,yes,yes
166,19.0179238,-98.2409992,2,2,3,0,80,50,45,no,yes,no
167,19.017835,-98.2409055,1,0,0,0,0,0,65,yes,yes,no
168,19.018502,-98.215474,3,0,0,0,0,0,70,yes,yes,yes
169,19.018495,-98.215463,2,5,4,0,20,5,19,no,yes,yes
170,19.018465,-98.215489,1,1,2,0,30,25,30,yes,yes,yes
171,19.018461,-98.215489,3,5,3,0,60,20,15,no,no,no
172,19.018464,-98.215486,2,3,0,0,10,5,20,yes,yes,yes
173,19.018462,-98.215487,3,3,1,0,50,20,23,yes,yes,yes
174,19.018462,-98.215487,1,5,10,0,20,10,35,no,yes,yes
175,19.017945,-98.2409735,3,0,1,2,50,50,35,yes,yes,yes
176,19.0178345,-98.2408798,2,0,0,0,15,15,45,yes,yes,yes
177,19.018412,-98.215515,2,1,0,0,30,20,40,yes,yes,yes
178,19.0451408321,-98.1941384822,2,1,3,5,70,120,24,yes,yes,yes
179,19.0450860043,-98.1943248957,3,1,3,2,70,150,21,yes,yes,yes
180,19.0486848,-98.2009447,3,0,0,0,300,100,57,yes,no,no
181,19.0577133,-98.3049117,4,3,2,0,200,250,25,yes,yes,no
182,19.0607694,-98.3043878,1,2,0,0,100,50,30,yes,yes,no
183,19.0210811532,-98.2605279644,1,1,3,0,25,50,23,yes,no,no
184,19.0204967772,-98.2609174689,4,2,1,6,30,60,45,yes,no,no
185,19.0199734038,-98.2611186058,2,4,4,1,45,100,25,yes,no,no
186,19.0197195579,-98.2613211126,3,3,5,4,60,85,42,yes,no,no
187,19.0195014333,-98.2613569843,2,1,2,4,30,80,50,yes,yes,yes
188,19.0530716631,-98.2340587584,3,0,0,1,100,500,38,yes,no,no
189,19.0530536501,-98.2341073981,2,1,2,1,60,100,48,yes,no,no
190,19.051727293,-98.2367615314,1,1,6,0,60,150,42,yes,no,no
191,19.0611642139,-98.2315076139,1,2,5,1,0,0,30,yes,no,no
192,19.0588042261,-98.2294885566,2,3,0,0,0,0,25,yes,no,no
193,19.0589694699,-98.2243710289,1,0,2,2,0,0,35,no,no,no
194,19.0592107861,-98.2251326074,1,0,0,0,0,0,40,yes,no,no
195,19.0592002586,-98.2259444741,1,0,4,2,0,0,25,yes,no,no
196,19.0598418171,-98.2258467287,1,4,2,0,0,50,35,no,no,no
197,19.0600975557,-98.2265581061,1,2,0,0,0,0,40,yes,no,no
198,19.0597363967,-98.2279686616,1,1,0,0,0,0,50,yes,no,no
199,19.0580187139,-98.230163399,1,3,7,0,0,0,35,yes,no,no
200,19.0518880463,-98.2368725267,3,6,7,1,50,85,36,yes,yes,yes
201,19.0517707873,-98.2369692678,5,4,2,1,50,100,29,yes,yes,yes
202,19.0522987926,-98.2376726763,2,3,1,1,40,90,42,yes,no,no
203,19.058447838,-98.2364085976,3,3,5,1,90,100,45,yes,yes,yes
204,19.0583650903,-98.2364502194,4,2,3,0,45,60,26,yes,yes,no
205,19.0453481001,-98.202268593,1,2,0,0,100,250,19,yes,no,no
206,19.0453973222,-98.2044800972,4,5,3,0,30,100,21,yes,no,yes
207,19.047547569,-98.204721637,1,2,0,0,20,100,19,yes,no,no
208,19.06475,-98.3095617,3,0,1,0,100,120,32,yes,yes,no
209,19.06553,-98.3087967,3,0,0,5,50,100,25,yes,yes,yes
210,19.0632067,-98.3099367,3,0,0,0,50,150,65,yes,yes,yes
211,19.06298,-98.3097183,1,2,2,0,180,200,21,yes,yes,yes
212,19.0442574659,-98.2260653024,1,0,16,0,0,0,48,no,yes,no
213,19.0435744813,-98.2285478516,7,0,0,0,0,0,70,yes,no,no
214,19.0434115128,-98.2287601153,2,1,8,1,20,15,30,yes,no,no
215,19.04335,-98.2288452,3,10,14,3,200,200,24,yes,no,no
216,19.0437404,-98.2292037,1,0,1,1,25,25,18,yes,no,no
217,19.0431554,-98.2303678,3,2,6,4,100,300,27,yes,no,no
