,_latitude,_longitude,97_number_of_customers_in_store,268_number_fridges,104_how_many_shelves_does_the_micro_retailer_have,2_current_permanent_employees,4_number_permanent_employees_last_year,145_number_direct_competitors,272_card_days_receive_money,276_expected_days_informal_credit,36_credit_default_rate,62_frequency_only_services,103_number_own_fridges,24_burnout,172_supplier_frequency,163_number_high_perishable_products,108_does_the_micro_retailer_has_a_barred_window_,99_does_the_micro_retailer_exhibits_products_outside_,102_does_the_micro_retailer_sells_fresh_products_
14,19.0139867,-98.2207869,0,0.0,0,0.0,0.0,0.0,1.0,7.0,0.0,4.0,3.0,5.0,1.0,1.0,no,yes,yes
15,19.0042859266,-98.2664427906,2,3.0,1,3.0,3.0,2.0,1.0,7.0,0.0,4.0,3.0,3.0,2.0,10.0,no,no,yes
16,19.0439568373,-98.1995625848,0,2.0,2,50.0,45.0,8.0,1.0,7.0,0.0,100.0,0.0,1.0,1.0,0.0,yes,no,yes
17,19.0437893,-98.1990342,3,0.0,10,50.0,45.0,8.0,1.0,7.0,0.0,100.0,0.0,1.0,1.0,0.0,no,no,no
18,19.0434088,-98.1992462,4,1.0,6,0.0,0.0,0.0,1.0,7.0,0.0,5.0,0.0,1.0,1.0,0.0,no,no,yes
19,19.0433357,-98.1993241,1,0.0,2,4.0,4.0,5.0,1.0,7.0,0.0,5.0,1.0,1.0,1.0,0.0,no,no,no
20,19.0431018,-98.199479,0,0.0,4,0.0,0.0,7.0,1.0,7.0,0.0,5.0,1.0,3.0,1.0,0.0,no,no,no
21,19.0094169656,-98.2225517896,2,1.0,1,1.0,2.0,7.0,0.0,7.0,0.0,5.0,1.0,3.0,2.0,5.0,no,no,no
22,19.0109511535,-98.2218001557,1,1.0,1,1.0,1.0,5.0,0.0,7.0,0.0,2.0,1.0,3.0,2.0,2.0,no,no,no
23,19.0104659252,-98.2209013304,2,2.0,1,0.0,1.0,4.0,0.0,7.0,0.0,2.0,1.0,3.0,2.0,4.0,no,no,no
24,19.0126011328,-98.2204573719,1,2.0,1,1.0,1.0,6.0,0.0,7.0,0.0,2.0,0.0,3.0,2.0,4.0,no,no,no
25,19.0140023251,-98.2197142766,0,2.0,1,0.0,0.0,5.0,0.0,7.0,0.0,2.0,0.0,3.0,1.0,3.0,yes,yes,no
26,19.0089785207,-98.2224862941,1,2.0,3,0.0,1.0,6.0,0.0,7.0,0.0,2.0,1.0,3.0,1.0,6.0,no,no,no
27,19.0197515,-98.2625225,1,1.0,3,1.0,15.0,3.0,0.0,7.0,0.0,2.0,2.0,3.0,1.0,10.0,no,yes,no
28,19.0197535,-98.2624963,6,0.0,3,15.0,15.0,2.0,2.0,7.0,0.0,2.0,2.0,3.0,1.0,10.0,yes,no,no
29,19.0192443,-98.2625228,8,2.0,1,15.0,15.0,2.0,2.0,7.0,0.0,2.0,2.0,3.0,1.0,10.0,no,no,no
30,19.0194612,-98.2615355,0,4.0,12,15.0,15.0,2.0,2.0,7.0,0.0,2.0,2.0,3.0,1.0,10.0,no,no,yes
31,19.0192329,-98.2614165,1,1.0,1,15.0,15.0,2.0,2.0,7.0,0.0,2.0,2.0,3.0,1.0,10.0,no,no,no
32,19.0192794,-98.2616682,0,0.0,4,15.0,15.0,2.0,2.0,7.0,0.0,2.0,2.0,3.0,1.0,10.0,no,no,no
33,19.0190695,-98.2617589,0,1.0,3,15.0,15.0,2.0,2.0,7.0,0.0,2.0,2.0,3.0,1.0,10.0,no,no,no
34,19.0190845,-98.2626101,0,0.0,3,2.0,2.0,3.0,2.0,7.0,0.0,2.0,2.0,3.0,1.0,5.0,no,no,no
35,19.0194635,-98.2624777,1,2.0,3,3.0,2.0,8.0,1.0,7.0,0.0,2.0,2.0,4.0,7.0,10.0,no,no,no
36,19.018755,-98.2619765,1,0.0,0,1.0,1.0,8.0,1.0,7.0,0.0,2.0,2.0,4.0,3.0,10.0,no,no,no
37,19.0189109,-98.2622415,0,0.0,0,1.0,1.0,8.0,1.0,7.0,0.0,2.0,2.0,4.0,3.0,10.0,no,no,no
38,19.0191329,-98.2616581,0,0.0,3,1.0,1.0,8.0,1.0,7.0,0.0,2.0,2.0,4.0,3.0,10.0,no,no,no
39,19.013027,-98.2273483,0,2.0,2,1.0,1.0,8.0,1.0,7.0,0.0,2.0,2.0,4.0,3.0,10.0,no,yes,yes
40,19.0133809,-98.2274412,2,4.0,6,1.0,1.0,8.0,1.0,7.0,0.0,2.0,2.0,4.0,3.0,10.0,yes,yes,yes
41,19.0126022,-98.2291983,0,0.0,4,1.0,1.0,2.0,1.0,7.0,0.0,0.0,1.0,4.0,1.0,0.0,no,yes,no
42,19.010985,-98.2296743,0,1.0,0,2.0,1.0,3.0,1.0,3.0,0.0,4.0,1.0,4.0,3.0,10.0,no,yes,no
43,19.0104145,-98.2305834,0,1.0,2,1.0,1.0,4.0,1.0,3.0,0.0,5.0,1.0,3.0,1.0,2.0,no,no,no
